,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
6112,274.0,103.6,650.4,1101.5,1323.2,1157.3,1089.1,701.6,701.5,530.0,998.3,1050.4,1230.7,4.6,365.2,322.8,921.7,910.3,854.7,794.9,527.6,388.3
6113,274.5,103.6,650.0,1102.2,1296.1,1166.4,1099.0,718.7,719.3,530.0,1007.7,1040.6,1301.5,4.6,365.8,323.2,940.9,920.2,856.0,784.4,525.3,389.2
6114,275.6,103.8,650.2,1100.0,1296.6,1153.4,1078.1,707.9,708.9,530.0,1003.0,1027.6,1243.4,4.6,361.7,319.5,937.9,923.0,862.1,792.1,544.1,395.3
6115,273.9,103.7,649.3,1099.0,1325.4,1156.2,1079.0,695.9,695.6,530.0,989.4,1009.9,1184.6,4.6,345.0,298.2,917.5,912.2,863.3,802.2,537.6,394.9
6116,273.8,103.6,650.7,1102.2,1309.4,1138.6,1051.9,649.6,650.2,530.0,989.6,1019.5,1173.8,4.6,345.1,298.8,919.8,908.8,861.2,808.8,528.0,377.0
6117,265.1,101.5,649.9,1099.7,1316.1,1087.4,1025.1,649.3,649.1,530.0,981.3,1016.8,1106.2,4.1,361.9,291.2,896.8,911.8,867.2,817.1,550.4,389.4
6118,261.1,101.2,649.9,1098.9,1329.7,1072.1,1002.9,648.7,651.0,530.0,1008.7,1038.2,1135.7,4.1,400.8,335.1,905.7,908.2,866.3,831.1,594.0,427.9
6120,258.6,99.6,636.1,1063.6,1278.5,1025.1,1001.6,621.1,618.4,530.0,1010.0,1038.5,1078.8,4.0,351.7,274.3,909.0,914.1,865.6,822.3,552.3,391.3
6121,211.1,87.2,648.1,1101.3,1321.6,1069.9,977.6,597.1,599.0,530.0,891.4,1050.8,1023.4,2.9,454.1,275.2,817.2,879.6,855.6,827.7,531.8,386.3
6122,250.9,97.5,648.1,1067.1,1198.1,1011.0,974.2,701.1,696.5,530.0,987.7,1075.6,1177.7,3.9,418.7,337.9,958.1,921.9,857.9,827.6,615.7,443.5
